"Name","Party","Votes","Seat","City","Year"
"Doctor Sayed Ghazi Gulabh Jamal","Independent","11186",39,"&#13;
      Complete Result of NA39 Tribal Area",2002
"Mian Hussain Jalali","Independent","8006",39,"&#13;
      Complete Result of NA39 Tribal Area",2002
"Sohrab Ali","Independent","6255",39,"&#13;
      Complete Result of NA39 Tribal Area",2002
"Muhammad Jan Orakzai","Independent","1471",39,"&#13;
      Complete Result of NA39 Tribal Area",2002
"Syed Gul Hussain Orakzaih Advocate","Independent","1097",39,"&#13;
      Complete Result of NA39 Tribal Area",2002
"Engineer Naveed Yousafh Orakzai","Independent","102",39,"&#13;
      Complete Result of NA39 Tribal Area",2002
"Fida Hussain","Independent","39",39,"&#13;
      Complete Result of NA39 Tribal Area",2002
"Saifullah Khan Orakzai","Independent","20",39,"&#13;
      Complete Result of NA39 Tribal Area",2002
"Molvi Nek Zaman","Independent","14773",40,"&#13;
      Complete Result of NA40 Tribal Area",2002
"Malik Mohammad Ajmal Khan","Independent","5464",40,"&#13;
      Complete Result of NA40 Tribal Area",2002
"Engineer Abdul Qayyum","Independent","2547",40,"&#13;
      Complete Result of NA40 Tribal Area",2002
"Doctor Gul Alam Khan Wazir","Independent","1306",40,"&#13;
      Complete Result of NA40 Tribal Area",2002
"Muhammad Niaz Khan","Independent","680",40,"&#13;
      Complete Result of NA40 Tribal Area",2002
"Raza-u-Din","Independent","594",40,"&#13;
      Complete Result of NA40 Tribal Area",2002
"Doctor Azimullah Khan","Independent","537",40,"&#13;
      Complete Result of NA40 Tribal Area",2002
"Nisar Ali Khan","Independent","527",40,"&#13;
      Complete Result of NA40 Tribal Area",2002
"Doctor Bashir Ahmad","Independent","467",40,"&#13;
      Complete Result of NA40 Tribal Area",2002
"Laiq Zaman","Independent","398",40,"&#13;
      Complete Result of NA40 Tribal Area",2002
"Syed Ghawas Khan","Independent","395",40,"&#13;
      Complete Result of NA40 Tribal Area",2002
"Zar Mali Khan","Independent","322",40,"&#13;
      Complete Result of NA40 Tribal Area",2002
"Malik Muhammad Afzal Khanh Daurhamzoni","Independent","145",40,"&#13;
      Complete Result of NA40 Tribal Area",2002
"Hussain Ahmad Sadiq","Independent","143",40,"&#13;
      Complete Result of NA40 Tribal Area",2002
"Haji Wresham Jan","Independent","87",40,"&#13;
      Complete Result of NA40 Tribal Area",2002
"Sardar Mohammad Khan","Independent","72",40,"&#13;
      Complete Result of NA40 Tribal Area",2002
"Alamgir Khan Wazir","Independent","46",40,"&#13;
      Complete Result of NA40 Tribal Area",2002
"Doctor Madad Khan","Independent","35",40,"&#13;
      Complete Result of NA40 Tribal Area",2002
"Abdul Alim Muhammad","Independent","17",40,"&#13;
      Complete Result of NA40 Tribal Area",2002
"Abdur Rehman","Independent","15",40,"&#13;
      Complete Result of NA40 Tribal Area",2002
"Jahanzeb Khan","Independent","13",40,"&#13;
      Complete Result of NA40 Tribal Area",2002
"Malik Aziz ur Rehman","Independent","11",40,"&#13;
      Complete Result of NA40 Tribal Area",2002
"Amir Nawaz Khan","Independent","6",40,"&#13;
      Complete Result of NA40 Tribal Area",2002
"Abdul Malik","Independent","8005",41,"&#13;
      Complete Result of NA41 Tribal Area",2002
